data,talhao,cultura,loc,solo,precipitacao,temperatura,graus_dia,evapotranspiracao,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade
2026/01/01,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,30,30,24,7.5,1.0,20,34,24,V4,alto,3084
2026/01/02,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,39,22,4.7,1.09,27,40,27,V5,moderado,2835
2026/01/03,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,38,26,5.6,1.0,75,71,14,V4,moderado,3336
2026/01/04,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,15,26,23,4.4,1.0,25,45,31,V4,moderado,4103
2026/01/05,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,29,27,27,6.3,0.84,31,44,28,R2,alto,2802
2026/01/06,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,28,33,25,4.2,0.8,63,26,32,V4,moderado,2728
2026/01/07,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,27,38,20,3.7,1.11,77,78,29,V4,moderado,4033
2026/01/08,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,24,26,17,6.8,1.1,18,98,26,V3,moderado,3389
2026/01/09,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,11,32,27,5.3,0.95,29,78,1,R3,moderado,3111
2026/01/10,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,9,33,26,5.0,0.96,55,75,31,V3,moderado,2923
2026/01/11,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,17,32,18,5.1,0.89,26,74,2,V3,moderado,4159
2026/01/12,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,1,26,17,3.2,0.93,75,37,2,R5,moderado,3629
2026/01/13,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,39,21,3.9,0.8,33,101,32,R4,moderado,2729
2026/01/14,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,14,35,16,4.6,0.88,57,41,9,R5,moderado,4545
2026/01/15,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,32,32,16,6.1,1.07,60,64,5,V5,moderado,3047
2026/01/16,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,4,26,26,3.4,0.86,22,48,29,R2,moderado,2243
2026/01/17,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,33,27,29,2.9,1.15,72,101,11,V3,baixo,3196
2026/01/18,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,27,31,25,4.0,0.87,42,45,8,V5,moderado,4349
2026/01/19,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,7,35,16,5.8,1.1,71,40,12,R4,moderado,2604
2026/01/20,Talhao_01,soja,Brasil_MT_Jaciara,argiloso,8,29,17,7.2,1.15,60,27,19,R3,moderado,4033
