data,talhao,loc,solo,cultura,cenario,precipitacao,temperatura,graus_dia,evapotranspiracao,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade,decisao_hydros
15/06/1978,U01,U01,IBSB910015,soja,irrigado,9,27.8,17.8,5.35,0.4,0.173,54.7,0,germinacao,0.06,0,manter
16/06/1978,U01,U01,IBSB910015,soja,irrigado,0,28.3,18.3,5.49,0.4,0.107,5.3,0,germinacao,0.66,0,iniciar_irrigacao
17/06/1978,U01,U01,IBSB910015,soja,irrigado,8,28.8,18.8,5.64,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
18/06/1978,U01,U01,IBSB910015,soja,irrigado,0,29.2,19.2,5.77,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
19/06/1978,U01,U01,IBSB910015,soja,irrigado,0,29.6,19.6,5.89,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
20/06/1978,U01,U01,IBSB910015,soja,irrigado,0,30,20,6.02,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
21/06/1978,U01,U01,IBSB910015,soja,irrigado,16,30.4,20.4,6.14,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
22/06/1978,U01,U01,IBSB910015,soja,irrigado,0,30.6,20.6,6.22,0.4,0.07,0,0,germinacao,1,0,iniciar_irrigacao
23/06/1978,U01,U01,IBSB910015,soja,irrigado,0,30.9,20.9,6.31,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
24/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31.1,21.1,6.38,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
25/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31.2,21.2,6.43,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
26/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31.2,21.2,6.46,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
27/06/1978,U01,U01,IBSB910015,soja,irrigado,5,31.2,21.2,6.48,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
28/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31.2,21.2,6.49,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
29/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31.1,21.1,6.48,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
30/06/1978,U01,U01,IBSB910015,soja,irrigado,0,31,21,6.46,0.75,0.07,0,13,vegetativo,1,0,iniciar_irrigacao
1/7/1978,U01,U01,IBSB910015,soja,irrigado,0,30.8,20.8,6.42,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
2/7/1978,U01,U01,IBSB910015,soja,irrigado,9,30.7,20.7,6.38,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
3/7/1978,U01,U01,IBSB910015,soja,irrigado,22,30.5,20.5,6.33,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
4/7/1978,U01,U01,IBSB910015,soja,irrigado,0,30.3,20.3,6.26,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
5/7/1978,U01,U01,IBSB910015,soja,irrigado,0,30.2,20.2,6.21,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
6/7/1978,U01,U01,IBSB910015,soja,irrigado,0,30,20,6.13,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
7/7/1978,U01,U01,IBSB910015,soja,irrigado,0,29.8,19.8,6.05,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
8/7/1978,U01,U01,IBSB910015,soja,irrigado,0,29.7,19.7,5.98,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
9/7/1978,U01,U01,IBSB910015,soja,irrigado,0,29.6,19.6,5.91,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
10/7/1978,U01,U01,IBSB910015,soja,irrigado,0,29.5,19.5,5.83,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
11/7/1978,U01,U01,IBSB910015,soja,irrigado,0,29.5,19.5,5.77,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
12/7/1978,U01,U01,IBSB910015,soja,irrigado,12,29.4,19.4,5.69,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
13/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.62,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
14/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.56,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
15/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.49,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
16/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.43,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
17/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.36,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
18/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.4,19.4,5.3,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
19/07/1978,U01,U01,IBSB910015,soja,irrigado,9,29.3,19.3,5.23,0.75,0.07,0,0,vegetativo,1,0,iniciar_irrigacao
20/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.2,19.2,5.16,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
21/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29.1,19.1,5.1,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
22/07/1978,U01,U01,IBSB910015,soja,irrigado,0,29,19,5.05,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
23/07/1978,U01,U01,IBSB910015,soja,irrigado,0,28.8,18.8,4.98,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
24/07/1978,U01,U01,IBSB910015,soja,irrigado,0,28.6,18.6,4.92,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
25/07/1978,U01,U01,IBSB910015,soja,irrigado,0,28.3,18.3,4.85,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
26/07/1978,U01,U01,IBSB910015,soja,irrigado,0,28,18,4.79,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
27/07/1978,U01,U01,IBSB910015,soja,irrigado,0,27.6,17.6,4.72,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
28/07/1978,U01,U01,IBSB910015,soja,irrigado,0,27.2,17.2,4.65,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
29/07/1978,U01,U01,IBSB910015,soja,irrigado,0,26.8,16.8,4.6,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
30/07/1978,U01,U01,IBSB910015,soja,irrigado,18,26.4,16.4,4.55,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
31/07/1978,U01,U01,IBSB910015,soja,irrigado,0,26,16,4.51,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
1/8/1978,U01,U01,IBSB910015,soja,irrigado,0,25.6,15.6,4.47,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
2/8/1978,U01,U01,IBSB910015,soja,irrigado,0,25.2,15.2,4.44,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
3/8/1978,U01,U01,IBSB910015,soja,irrigado,0,24.8,14.8,4.42,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
4/8/1978,U01,U01,IBSB910015,soja,irrigado,0,24.5,14.5,4.42,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
5/8/1978,U01,U01,IBSB910015,soja,irrigado,9,24.2,14.2,4.43,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
6/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.9,13.9,4.43,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
7/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.7,13.7,4.46,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
8/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.6,13.6,4.51,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
9/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.5,13.5,4.56,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
10/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.5,13.5,4.62,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
11/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.6,13.6,4.71,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
12/8/1978,U01,U01,IBSB910015,soja,irrigado,0,23.7,13.7,4.79,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
13/08/1978,U01,U01,IBSB910015,soja,irrigado,0,23.9,13.9,4.89,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
14/08/1978,U01,U01,IBSB910015,soja,irrigado,0,24.1,14.1,4.98,1.05,0.07,0,0,florescimento,1,0,iniciar_irrigacao
