data,talhao,loc,solo,cultura,cenario,dssat_run,dia_safra,precipitacao,temperatura,temp_maxima,temp_minima,graus_dia,evapotranspiracao,evapotranspiracao_potencial,coeficiente_cultura,umidade_solo,agua_disponivel,irrigacao_aplicada,estagio_fenologico,estresse_hidrico,produtividade,decisao_referencia
19/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,1,0.0,27.9,35.6,20.0,17.9,3.538,6.745,0.525,0.1,155,0.0,germinacao,0.0,0,manter
20/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,2,0.0,28.7,36.1,21.1,18.7,0.0,4.972,0.3,0.1,155,0.0,germinacao,0.0,0,manter
21/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,3,38.9,27.0,32.8,21.1,17.0,0.154,5.168,0.03,0.141,193,0.0,germinacao,0.0,0,manter
22/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,4,0.0,26.2,32.8,19.4,16.2,4.979,5.068,0.982,0.114,172,0.0,germinacao,0.0,0,manter
23/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,5,0.0,26.2,32.2,20.0,16.2,0.616,5.628,0.109,0.107,164,0.0,germinacao,0.0,0,manter
24/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,6,19.0,26.7,33.3,20.0,16.7,0.286,6.045,0.047,0.133,183,0.0,vegetativo,0.0,0,manter
25/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,7,10.2,26.7,33.3,20.0,16.7,5.411,5.537,0.977,0.127,186,0.0,vegetativo,0.0,0,manter
26/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,8,11.9,26.5,32.2,20.6,16.5,2.325,2.654,0.876,0.136,195,0.0,vegetativo,0.0,0,manter
27/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,9,1.8,25.1,30.6,19.4,15.1,5.515,6.072,0.908,0.122,189,0.0,vegetativo,0.0,0,manter
28/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,10,0.0,25.4,30.6,20.0,15.4,0.339,4.577,0.074,0.111,172,0.0,vegetativo,0.0,0,manter
29/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,11,0.0,25.9,32.2,19.4,15.9,0.346,5.568,0.062,0.105,163,0.0,vegetativo,0.0,0,manter
30/06/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,12,0.8,26.7,33.3,20.0,16.7,0.406,6.68,0.061,0.106,163,0.0,vegetativo,0.0,0,manter
01/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,13,0.0,27.6,33.9,21.1,17.6,1.24,6.212,0.2,0.102,159,0.0,vegetativo,0.0,0,manter
02/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,14,0.0,30.1,36.1,23.9,20.1,0.542,7.12,0.076,0.101,158,0.0,vegetativo,0.0,0,manter
03/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,15,6.6,30.1,36.1,23.9,20.1,0.575,6.094,0.094,0.113,164,0.0,vegetativo,0.0,0,manter
04/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,16,0.3,28.7,36.1,21.1,18.7,5.286,7.564,0.699,0.101,158,0.0,vegetativo,0.0,0,manter
05/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,17,2.3,29.2,35.0,23.3,19.2,0.626,5.97,0.105,0.106,160,0.0,vegetativo,0.0,0,manter
06/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,18,0.0,28.1,34.4,21.7,18.1,3.292,7.021,0.469,0.1,157,0.0,vegetativo,0.0,0,manter
07/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,19,0.0,29.5,34.4,24.4,19.5,0.891,5.644,0.158,0.099,156,0.0,vegetativo,0.0,0,manter
08/07/1979,UFGA0001,Gainesville_FL,IBSB910015,soja,irrigado,1,20,3.0,27.0,31.7,22.2,17.0,1.173,5.929,0.198,0.105,157,0.0,vegetativo,0.0,0,manter
